기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20242,11110530,사직동,CS100010,커피-음료,177,7,10,43
20242,11110540,삼청동,CS100010,커피-음료,89,3,3,11
20242,11110550,부암동,CS100010,커피-음료,42,1,2,4
20242,11110560,평창동,CS100010,커피-음료,25,2,1,4
20242,11110570,무악동,CS100010,커피-음료,6,0,0,6
20242,11110580,교남동,CS100010,커피-음료,13,0,0,13
20242,11110600,가회동,CS100010,커피-음료,82,5,1,8
20242,11110615,종로1·2·3·4가동,CS100010,커피-음료,386,17,19,96
20242,11110630,종로5·6가동,CS100010,커피-음료,80,6,5,24
20242,11110640,이화동,CS100010,커피-음료,82,2,3,31
20242,11110650,혜화동,CS100010,커피-음료,123,4,8,32
20242,11110670,창신1동,CS100010,커피-음료,22,1,1,7
20242,11110680,창신2동,CS100010,커피-음료,13,2,3,1
20242,11110690,창신3동,CS100010,커피-음료,6,0,0,1
20242,11110700,숭인1동,CS100010,커피-음료,4,1,2,6
20242,11110710,숭인2동,CS100010,커피-음료,16,1,2,14
20242,11140520,소공동,CS100010,커피-음료,120,2,7,59
20242,11140540,회현동,CS100010,커피-음료,108,8,3,31
20242,11140550,명동,CS100010,커피-음료,222,6,11,113
20242,11140570,필동,CS100010,커피-음료,81,5,3,33
20242,11140580,장충동,CS100010,커피-음료,26,1,1,7
20242,11140590,광희동,CS100010,커피-음료,122,5,2,27
20242,11140605,을지로동,CS100010,커피-음료,108,8,5,34
20242,11140615,신당동,CS100010,커피-음료,41,2,2,22
20242,11140625,다산동,CS100010,커피-음료,42,1,1,9
20242,11140635,약수동,CS100010,커피-음료,22,0,1,9
20242,11140645,청구동,CS100010,커피-음료,16,0,0,1
20242,11140650,신당5동,CS100010,커피-음료,14,0,2,5
20242,11140665,동화동,CS100010,커피-음료,22,2,1,4
20242,11140670,황학동,CS100010,커피-음료,26,3,2,10
20242,11140680,중림동,CS100010,커피-음료,34,2,4,13
20242,11170510,후암동,CS100010,커피-음료,63,4,2,6
20242,11170520,용산2가동,CS100010,커피-음료,69,6,5,9
20242,11170530,남영동,CS100010,커피-음료,70,4,3,20
20242,11170555,청파동,CS100010,커피-음료,77,4,2,22
20242,11170560,원효로1동,CS100010,커피-음료,52,4,0,10
20242,11170570,원효로2동,CS100010,커피-음료,18,0,0,7
20242,11170580,효창동,CS100010,커피-음료,17,1,0,2
20242,11170590,용문동,CS100010,커피-음료,16,2,1,4
20242,11170625,한강로동,CS100010,커피-음료,234,13,4,55
20242,11170630,이촌1동,CS100010,커피-음료,10,1,0,4
20242,11170640,이촌2동,CS100010,커피-음료,12,1,1,1
20242,11170650,이태원1동,CS100010,커피-음료,59,3,2,22
20242,11170660,이태원2동,CS100010,커피-음료,63,4,1,4
20242,11170685,한남동,CS100010,커피-음료,133,4,3,14
20242,11170690,서빙고동,CS100010,커피-음료,20,1,1,1
20242,11170700,보광동,CS100010,커피-음료,20,1,3,3
20242,11200520,왕십리2동,CS100010,커피-음료,22,0,0,3
20242,11200535,왕십리도선동,CS100010,커피-음료,46,6,5,28
20242,11200540,마장동,CS100010,커피-음료,24,0,0,5
20242,11200550,사근동,CS100010,커피-음료,62,1,8,26
20242,11200560,행당1동,CS100010,커피-음료,36,4,3,18
20242,11200570,행당2동,CS100010,커피-음료,11,0,0,5
20242,11200580,응봉동,CS100010,커피-음료,7,1,1,2
20242,11200590,금호1가동,CS100010,커피-음료,13,0,0,4
20242,11200615,금호2·3가동,CS100010,커피-음료,27,2,0,7
20242,11200620,금호4가동,CS100010,커피-음료,15,1,5,8
20242,11200645,옥수동,CS100010,커피-음료,21,2,0,6
20242,11200650,성수1가1동,CS100010,커피-음료,64,3,2,16
20242,11200660,성수1가2동,CS100010,커피-음료,194,8,14,26
20242,11200670,성수2가1동,CS100010,커피-음료,98,10,3,14
20242,11200690,성수2가3동,CS100010,커피-음료,167,9,3,37
20242,11200720,송정동,CS100010,커피-음료,22,2,1,2
20242,11200790,용답동,CS100010,커피-음료,28,2,3,11
20242,11215710,화양동,CS100010,커피-음료,153,7,8,48
20242,11215730,군자동,CS100010,커피-음료,61,3,4,25
20242,11215740,중곡1동,CS100010,커피-음료,45,1,2,2
20242,11215750,중곡2동,CS100010,커피-음료,42,2,0,11
20242,11215760,중곡3동,CS100010,커피-음료,35,2,5,11
20242,11215770,중곡4동,CS100010,커피-음료,41,4,4,11
20242,11215780,능동,CS100010,커피-음료,24,1,3,9
20242,11215810,광장동,CS100010,커피-음료,49,1,4,19
20242,11215820,자양1동,CS100010,커피-음료,44,4,2,11
20242,11215830,자양2동,CS100010,커피-음료,32,3,3,16
20242,11215840,자양3동,CS100010,커피-음료,46,3,1,14
20242,11215847,자양4동,CS100010,커피-음료,78,6,3,15
20242,11215850,구의1동,CS100010,커피-음료,55,3,2,14
20242,11215860,구의2동,CS100010,커피-음료,45,2,0,9
20242,11215870,구의3동,CS100010,커피-음료,52,3,3,33
20242,11230536,용신동,CS100010,커피-음료,94,5,7,37
20242,11230545,제기동,CS100010,커피-음료,76,5,4,9
20242,11230560,전농1동,CS100010,커피-음료,63,4,3,25
20242,11230570,전농2동,CS100010,커피-음료,18,1,1,9
20242,11230600,답십리1동,CS100010,커피-음료,34,6,2,16
20242,11230610,답십리2동,CS100010,커피-음료,23,0,0,11
20242,11230650,장안1동,CS100010,커피-음료,63,5,8,30
20242,11230660,장안2동,CS100010,커피-음료,50,1,5,24
20242,11230705,청량리동,CS100010,커피-음료,34,2,2,8
20242,11230710,회기동,CS100010,커피-음료,77,2,8,20
20242,11230720,휘경1동,CS100010,커피-음료,27,3,0,8
20242,11230730,휘경2동,CS100010,커피-음료,47,0,1,7
20242,11230740,이문1동,CS100010,커피-음료,54,2,2,20
20242,11230750,이문2동,CS100010,커피-음료,16,0,0,2
20242,11260520,면목2동,CS100010,커피-음료,37,6,5,5
20242,11260540,면목4동,CS100010,커피-음료,23,0,0,6
20242,11260550,면목5동,CS100010,커피-음료,14,0,0,4
20242,11260565,면목본동,CS100010,커피-음료,29,0,2,14
20242,11260570,면목7동,CS100010,커피-음료,29,1,2,10
20242,11260575,면목3·8동,CS100010,커피-음료,44,0,2,20
20242,11260580,상봉1동,CS100010,커피-음료,31,2,2,18
20242,11260590,상봉2동,CS100010,커피-음료,48,5,5,22
20242,11260600,중화1동,CS100010,커피-음료,18,1,4,3
20242,11260610,중화2동,CS100010,커피-음료,32,4,4,13
20242,11260620,묵1동,CS100010,커피-음료,39,3,3,13
20242,11260630,묵2동,CS100010,커피-음료,30,3,2,8
20242,11260655,망우본동,CS100010,커피-음료,63,6,6,22
20242,11260660,망우3동,CS100010,커피-음료,14,0,1,6
20242,11260680,신내1동,CS100010,커피-음료,39,2,3,24
20242,11260690,신내2동,CS100010,커피-음료,14,0,0,9
20242,11290525,성북동,CS100010,커피-음료,90,2,3,5
20242,11290555,삼선동,CS100010,커피-음료,73,3,4,14
20242,11290575,동선동,CS100010,커피-음료,120,4,5,33
20242,11290580,돈암1동,CS100010,커피-음료,5,0,1,3
20242,11290590,돈암2동,CS100010,커피-음료,12,2,2,4
20242,11290600,안암동,CS100010,커피-음료,91,6,10,40
20242,11290610,보문동,CS100010,커피-음료,33,4,3,5
20242,11290620,정릉1동,CS100010,커피-음료,17,1,0,4
20242,11290630,정릉2동,CS100010,커피-음료,22,0,2,8
20242,11290640,정릉3동,CS100010,커피-음료,21,2,2,4
20242,11290650,정릉4동,CS100010,커피-음료,26,0,0,3
20242,11290660,길음1동,CS100010,커피-음료,11,2,0,15
20242,11290685,길음2동,CS100010,커피-음료,34,2,4,11
20242,11290705,종암동,CS100010,커피-음료,49,2,2,14
20242,11290715,월곡1동,CS100010,커피-음료,25,1,0,14
20242,11290725,월곡2동,CS100010,커피-음료,41,1,2,13
20242,11290760,장위1동,CS100010,커피-음료,19,2,1,7
20242,11290770,장위2동,CS100010,커피-음료,18,1,1,4
20242,11290780,장위3동,CS100010,커피-음료,5,0,0,9
20242,11290810,석관동,CS100010,커피-음료,40,2,5,15
20242,11305534,삼양동,CS100010,커피-음료,15,1,2,6
20242,11305535,미아동,CS100010,커피-음료,38,2,1,10
20242,11305545,송중동,CS100010,커피-음료,51,4,5,16
20242,11305555,송천동,CS100010,커피-음료,43,1,2,9
20242,11305575,삼각산동,CS100010,커피-음료,19,0,0,13
20242,11305595,번1동,CS100010,커피-음료,40,1,4,13
20242,11305603,번2동,CS100010,커피-음료,15,0,0,3
20242,11305608,번3동,CS100010,커피-음료,15,2,0,6
20242,11305615,수유1동,CS100010,커피-음료,23,4,3,14
20242,11305625,수유2동,CS100010,커피-음료,24,3,4,4
20242,11305635,수유3동,CS100010,커피-음료,77,4,7,21
20242,11305645,우이동,CS100010,커피-음료,48,3,3,14
20242,11305660,인수동,CS100010,커피-음료,58,1,2,11
20242,11320511,창1동,CS100010,커피-음료,27,3,2,9
20242,11320512,창2동,CS100010,커피-음료,24,0,0,6
20242,11320513,창3동,CS100010,커피-음료,25,2,0,1
20242,11320514,창4동,CS100010,커피-음료,17,1,0,13
20242,11320515,창5동,CS100010,커피-음료,29,3,3,22
20242,11320521,도봉1동,CS100010,커피-음료,38,3,2,20
20242,11320522,도봉2동,CS100010,커피-음료,31,2,1,4
20242,11320660,쌍문1동,CS100010,커피-음료,30,3,0,6
20242,11320670,쌍문2동,CS100010,커피-음료,29,2,3,10
20242,11320680,쌍문3동,CS100010,커피-음료,17,2,3,9
20242,11320681,쌍문4동,CS100010,커피-음료,9,0,0,5
20242,11320690,방학1동,CS100010,커피-음료,46,3,3,23
20242,11320700,방학2동,CS100010,커피-음료,15,2,2,4
20242,11320710,방학3동,CS100010,커피-음료,19,3,1,5
20242,11350560,월계1동,CS100010,커피-음료,33,2,2,23
20242,11350570,월계2동,CS100010,커피-음료,18,0,3,7
20242,11350580,월계3동,CS100010,커피-음료,26,1,1,5
20242,11350595,공릉1동,CS100010,커피-음료,110,4,8,27
20242,11350600,공릉2동,CS100010,커피-음료,83,8,2,34
20242,11350611,하계1동,CS100010,커피-음료,27,1,2,12
20242,11350612,하계2동,CS100010,커피-음료,2,0,1,0
20242,11350619,중계본동,CS100010,커피-음료,25,0,3,10
20242,11350621,중계1동,CS100010,커피-음료,11,1,0,21
20242,11350624,중계4동,CS100010,커피-음료,25,3,1,13
20242,11350625,중계2·3동,CS100010,커피-음료,10,2,1,14
20242,11350630,상계1동,CS100010,커피-음료,44,1,1,21
20242,11350640,상계2동,CS100010,커피-음료,69,3,2,28
20242,11350665,상계3·4동,CS100010,커피-음료,23,2,1,8
20242,11350670,상계5동,CS100010,커피-음료,33,1,2,11
20242,11350695,상계6·7동,CS100010,커피-음료,30,1,0,17
20242,11350700,상계8동,CS100010,커피-음료,2,0,0,5
20242,11350710,상계9동,CS100010,커피-음료,4,0,1,1
20242,11350720,상계10동,CS100010,커피-음료,9,1,0,4
20242,11380510,녹번동,CS100010,커피-음료,55,2,9,13
20242,11380520,불광1동,CS100010,커피-음료,36,3,4,16
20242,11380530,불광2동,CS100010,커피-음료,23,1,1,5
20242,11380551,갈현1동,CS100010,커피-음료,38,8,6,17
20242,11380552,갈현2동,CS100010,커피-음료,52,1,2,8
20242,11380560,구산동,CS100010,커피-음료,33,1,2,9
20242,11380570,대조동,CS100010,커피-음료,61,5,4,25
20242,11380580,응암1동,CS100010,커피-음료,42,3,2,23
20242,11380590,응암2동,CS100010,커피-음료,15,0,4,6
20242,11380600,응암3동,CS100010,커피-음료,56,3,2,11
20242,11380625,역촌동,CS100010,커피-음료,75,2,5,13
20242,11380631,신사1동,CS100010,커피-음료,29,1,0,10
20242,11380632,신사2동,CS100010,커피-음료,23,0,1,3
20242,11380640,증산동,CS100010,커피-음료,18,0,0,3
20242,11380650,수색동,CS100010,커피-음료,9,2,0,6
20242,11380690,진관동,CS100010,커피-음료,78,5,5,23
20242,11410520,천연동,CS100010,커피-음료,21,2,1,4
20242,11410555,북아현동,CS100010,커피-음료,19,0,1,11
20242,11410565,충현동,CS100010,커피-음료,84,5,8,19
20242,11410585,신촌동,CS100010,커피-음료,213,10,13,86
20242,11410615,연희동,CS100010,커피-음료,149,9,7,12
20242,11410620,홍제1동,CS100010,커피-음료,24,1,0,8
20242,11410640,홍제3동,CS100010,커피-음료,29,4,3,6
20242,11410655,홍제2동,CS100010,커피-음료,11,1,1,7
20242,11410660,홍은1동,CS100010,커피-음료,23,1,0,7
20242,11410685,홍은2동,CS100010,커피-음료,30,0,1,13
20242,11410690,남가좌1동,CS100010,커피-음료,7,0,0,6
20242,11410700,남가좌2동,CS100010,커피-음료,55,2,4,20
20242,11410710,북가좌1동,CS100010,커피-음료,7,0,1,4
20242,11410720,북가좌2동,CS100010,커피-음료,33,2,3,11
20242,11440555,아현동,CS100010,커피-음료,39,4,4,19
20242,11440565,공덕동,CS100010,커피-음료,66,2,5,19
20242,11440585,도화동,CS100010,커피-음료,37,2,1,26
20242,11440590,용강동,CS100010,커피-음료,53,3,6,21
20242,11440600,대흥동,CS100010,커피-음료,75,5,6,22
20242,11440610,염리동,CS100010,커피-음료,41,4,2,15
20242,11440630,신수동,CS100010,커피-음료,47,4,3,5
20242,11440655,서강동,CS100010,커피-음료,129,8,10,20
20242,11440660,서교동,CS100010,커피-음료,663,33,28,102
20242,11440680,합정동,CS100010,커피-음료,153,4,6,28
20242,11440690,망원1동,CS100010,커피-음료,148,10,9,15
20242,11440700,망원2동,CS100010,커피-음료,74,4,6,10
20242,11440710,연남동,CS100010,커피-음료,321,14,19,14
20242,11440720,성산1동,CS100010,커피-음료,69,6,5,7
20242,11440730,성산2동,CS100010,커피-음료,50,2,3,14
20242,11440740,상암동,CS100010,커피-음료,141,8,8,64
20242,11470510,목1동,CS100010,커피-음료,68,4,4,48
20242,11470520,목2동,CS100010,커피-음료,35,2,0,11
20242,11470530,목3동,CS100010,커피-음료,31,1,1,10
20242,11470540,목4동,CS100010,커피-음료,34,2,4,11
20242,11470550,목5동,CS100010,커피-음료,23,1,0,15
20242,11470560,신월1동,CS100010,커피-음료,24,3,0,9
20242,11470570,신월2동,CS100010,커피-음료,18,2,2,2
20242,11470580,신월3동,CS100010,커피-음료,13,1,0,8
20242,11470590,신월4동,CS100010,커피-음료,18,2,2,4
20242,11470600,신월5동,CS100010,커피-음료,20,1,0,5
20242,11470610,신월6동,CS100010,커피-음료,15,0,3,4
20242,11470611,신월7동,CS100010,커피-음료,9,1,0,9
20242,11470620,신정1동,CS100010,커피-음료,32,2,3,12
20242,11470630,신정2동,CS100010,커피-음료,28,1,1,8
20242,11470640,신정3동,CS100010,커피-음료,26,2,4,17
20242,11470650,신정4동,CS100010,커피-음료,78,6,9,22
20242,11470670,신정6동,CS100010,커피-음료,16,0,0,10
20242,11470680,신정7동,CS100010,커피-음료,24,3,2,15
20242,11500510,염창동,CS100010,커피-음료,51,1,1,25
20242,11500520,등촌1동,CS100010,커피-음료,55,4,3,23
20242,11500530,등촌2동,CS100010,커피-음료,17,0,2,9
20242,11500535,등촌3동,CS100010,커피-음료,43,5,3,27
20242,11500540,화곡1동,CS100010,커피-음료,54,4,1,22
20242,11500550,화곡2동,CS100010,커피-음료,14,0,0,3
20242,11500560,화곡3동,CS100010,커피-음료,29,0,3,7
20242,11500570,화곡4동,CS100010,커피-음료,27,1,1,7
20242,11500590,화곡본동,CS100010,커피-음료,33,0,1,6
20242,11500591,화곡6동,CS100010,커피-음료,42,5,2,23
20242,11500593,화곡8동,CS100010,커피-음료,26,2,5,16
20242,11500603,가양1동,CS100010,커피-음료,199,27,20,97
20242,11500604,가양2동,CS100010,커피-음료,1,1,0,6
20242,11500605,가양3동,CS100010,커피-음료,6,0,0,3
20242,11500611,발산1동,CS100010,커피-음료,93,9,7,47
20242,11500615,우장산동,CS100010,커피-음료,38,5,4,20
20242,11500620,공항동,CS100010,커피-음료,51,5,2,15
