기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20243,11230536,용신동,CS100010,커피-음료,1617747249,268176,1263585228,354162021,256908818,246801174,259696576,244285555,255893105,198363538,155798483,4357929,306701239,634717528,351857834,256192636,63920083,680541683,753984241,8358479,210178871,372511446,294913732,307582285,240981109,208086,60090,43912,40633,40314,40702,42525,32777,27313,741,71995,98030,57840,35759,3811,125278,126759,1770,41092,70022,49774,48982,40398
20243,11230545,제기동,CS100010,커피-음료,355001728,55195,262138440,92863288,57583210,48842291,50768067,52039618,52905254,50056143,42807145,612135,27800350,121018596,103710294,96519195,5341158,146067419,205452574,5210915,132119454,69132997,43998464,60465490,40592673,42168,13027,9166,7892,8288,8558,8264,6588,6439,94,5761,18987,16088,13461,804,24420,30615,787,21839,10693,7124,9697,4892
20243,11230560,전농1동,CS100010,커피-음료,932092360,138651,638095874,293996486,123744086,113817298,133848161,129235943,137450386,150266984,143729502,0,121874821,296657042,236154728,244965806,32439963,402851200,488555055,14626094,203020363,219493703,186556732,169687967,98021398,95836,42815,19054,18054,19481,19187,20060,22098,20717,0,22258,41372,35491,34218,5312,62730,73172,2877,33887,33349,28018,24952,12815
20243,11230570,전농2동,CS100010,커피-음료,444987180,95580,332235303,112751877,71946134,61613217,67825608,66286305,64564039,60688137,52063740,504573,78132211,158688038,107731782,90018831,9911745,225889719,208883077,6802156,106294250,114445277,93305852,80757928,33167334,72780,22800,15705,13216,15134,14230,14495,12399,10401,239,20200,32454,22269,18482,1936,49306,45382,1872,26800,24454,18331,17026,6205
20243,11230600,답십리1동,CS100010,커피-음료,847480498,108780,596594099,250886399,112285523,120243218,121381051,119738975,122945332,159426198,91460201,0,113367340,221828771,225146218,254168696,32969473,320663975,452713852,7051671,148961231,208047956,163346939,150953610,95016420,74762,34018,15452,14555,15726,14581,14448,19945,14073,0,17779,29419,28368,28635,4579,48316,55971,1264,21644,27673,22450,18535,12719
20243,11230610,답십리2동,CS100010,커피-음료,589668780,66344,456672681,132996099,86730806,90470546,87264225,91530055,100677049,64825067,68171032,0,106442878,232877444,108878284,123955657,17514517,254282526,263142178,3133191,95810820,130900461,97072349,132086285,58421596,51248,15096,10087,9602,9809,10533,11217,7561,7535,0,12443,25171,13932,13307,1491,28663,33847,417,11640,17326,11584,14247,7295
20243,11230650,장안1동,CS100010,커피-음료,1546940808,285624,1127731967,419208841,218622004,220165837,229610914,218688087,240645125,223972165,195236676,54102588,300513868,412062435,311178232,321091850,147991835,765901528,694553966,12755248,254898026,428099440,332622546,281450466,150629753,211094,74530,41496,40741,43574,40534,44749,39587,34943,3145,74999,79273,58476,53785,15946,145849,131177,2026,52642,86740,60099,48800,26722
20243,11230660,장안2동,CS100010,커피-음료,1144315700,195742,770547521,373768179,150029220,151331225,156809611,146438924,165938541,195052029,178716150,559218,191059405,342358554,293782723,273352335,43203465,508280399,607982558,17737873,127649497,262818143,309494755,252136118,146426574,135267,60475,26945,26553,27677,25681,28411,31561,28914,303,42775,55581,47995,41503,7585,96449,97321,4204,25133,45759,55339,42022,21316
20243,11230705,청량리동,CS100010,커피-음료,780654888,129152,538217195,242437693,105133589,108264951,104907773,105215028,114695854,126343014,116094679,1561739,103821278,271972222,171778587,187896416,43624646,409941026,350110103,7846496,131010210,148340575,160103377,149831938,162918525,91119,38033,18710,17582,17539,17722,19566,19681,18352,36,26770,41901,28779,27547,4119,69387,58619,1938,25854,28618,27182,24221,20192
20243,11230710,회기동,CS100010,커피-음료,3111724998,403910,2377940503,733784495,474630178,452515948,459406963,463448448,527938966,421410433,312374062,2576840,289630509,1154126187,708324350,803542193,153524919,1158669880,1511657318,51490702,1061207737,565216395,353253465,487648343,151510556,310600,93310,63883,59664,63027,59874,64152,52566,40744,328,57921,137481,99584,90655,17941,174964,213326,8146,153045,80813,51680,73179,21428
